,numero_uai,appellation_officielle,denomination_principale,patronyme_uai,secteur_public_prive_libe,adresse_uai,lieu_dit_uai,boite_postale_uai,code_postal_uai,localite_acheminement_uai,libelle_commune,coordonnee_x,coordonnee_y,epsg,latitude,longitude,appariement,localisation,nature_uai,nature_uai_libe,etat_etablissement,etat_etablissement_libe,code_departement,code_region,code_academie,code_commune,libelle_departement,libelle_region,libelle_academie,position,secteur_prive_code_type_contrat,secteur_prive_libelle_type_contrat,code_ministere,libelle_ministere,date_ouverture
30557,0754083F,Cours Carnot (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,COURS CARNOT,Privé,98  RUE PIERRE DEMOURS,,,75017,PARIS,Paris 17e  Arrondissement,648642.9,6865070.3,EPSG:2154,48.88359974540239,2.2996895308847307,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75117,Paris,Ile-de-France,Paris,"48.8835997454,2.29968953088",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-28
30558,0754112M,Ecole privée de Bijouterie-Joaillerie,ECOLE 2D DEGRE PROF.PRIVEE,ECOLE DE BIJOUTERIE-JOAILLERIE,Privé,58 rue DU LOUVRE,,,75002,PARIS,Paris  2e  Arrondissement,651852.7,6863098.9,EPSG:2154,48.86611944450182,2.3436800300358205,Parfaite,Numéro de rue,320,LYCEE PROFESSIONNEL,1.0,OUVERT,75,11,1,75102,Paris,Ile-de-France,Paris,"48.8661194445,2.34368003004",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-15
30559,0754310C,E.M.PU DARIUS MILHAUD 53 allée Darius Milhaud,ECOLE MATERNELLE PUBLIQUE,DARIUS MILHAUD,Public,53 allée Darius Milhaud,,,75019,PARIS,Paris 19e  Arrondissement,655330.3,6865122.7,EPSG:2154,48.88456960649478,2.39087017499917,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8845696065,2.390870175",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1989-09-01
30560,0754325U,Lycée général privé Beth Hanna,LYCEE GENERAL PRIVE,BETH HANNA,Privé,49  RUE PETIT,,,75019,PARIS,Paris 19e  Arrondissement,654929.2,6865223.9,EPSG:2154,48.88545171798452,2.3853901303780534,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.885451718,2.38539013038",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1989-03-02
30561,0754413P,E.M.PU GOUTTE D'OR 57 rue de la Goutte d'Or,ECOLE MATERNELLE PUBLIQUE,GOUTTE D'OR,Public,57 rue de la Goutte d'Or,,,75018,PARIS,Paris 18e  Arrondissement,652390.1,6865202.4,EPSG:2154,48.88507564087767,2.3507695152319217,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1.0,OUVERT,75,11,1,75118,Paris,Ile-de-France,Paris,"48.8850756409,2.35076951523",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1990-09-01
30562,0754475G,Lycée polyvalent Léonard de Vinci - Lycée des métiers du bois,LPO LYCEE DES METIERS,LEONARD DE VINCI,Public,20 rue Bourseul,,,75015,PARIS,Paris 15e  Arrondissement,648781.1,6860040.8,EPSG:2154,48.83838135641114,2.3021800162712136,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8383813564,2.30218001627",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1992-09-01
30563,0754478K,Section d'enseignement général et professionnel adapté du Collège Georges Brassens,SEGPA,COLLEGE GEORGES BRASSENS,Public,4 rue Erik Satie,,,75019,PARIS,Paris 19e  Arrondissement,654998.6,6865095.8,EPSG:2154,48.88430460621725,2.386350043428396,Parfaite,Numéro de rue,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8843046062,2.38635004343",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1992-09-01
30564,0754488W,E.E.PU GOUBET 4 rue Goubet,ECOLE ELEMENTAIRE PUBLIQUE,GOUBET,Public,4 rue Goubet,,,75019,PARIS,Paris 19e  Arrondissement,655284.7,6865105.6,EPSG:2154,48.88441266607765,2.390250184614134,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8844126661,2.39025018461",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1992-09-01
30565,0754757N,Collège privé Notre-Dame de Sion,COLLEGE PRIVE,NOTRE-DAME DE SION,Privé,61  RUE NOTRE DAME DES CHAMPS,,,75006,PARIS,Paris  6e  Arrondissement,650895.6,6860626.2,EPSG:2154,48.8438104493388,2.330919541775168,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75106,Paris,Ile-de-France,Paris,"48.8438104493,2.33091954178",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1995-09-01
30566,0754778L,E.E.PU TANGER 17 rue de Tanger,ECOLE ELEMENTAIRE PUBLIQUE,TANGER,Public,17 rue de Tanger,,,75019,PARIS,Paris 19e  Arrondissement,653662.2,6865253.5,EPSG:2154,48.88562796915883,2.3681101287984654,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8856279692,2.3681101288",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1996-11-07
