Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1946-1970,1971-1990,1971-1990,Apres 1990,Apres 1990,Avant 1946,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
13759,2,126,12,94,66,26,101,1,1,0,0,0,0,0,0,7511248,0,1,0.03347954928395306,-0.47734671686947006,22.1
7169,4,17,7,25,18,2,31,1,1,0,0,0,0,0,0,7510726,1,0,0.029053008834889205,0.15409345577556788,27.0
14628,2,88,9,65,106,7,34,0,0,1,1,0,0,0,0,7510933,1,0,0.021109145373455734,-1.0119346640805658,25.3
13759,3,37,12,42,23,15,18,0,0,0,0,1,1,0,0,7511245,0,1,0.10318839920409463,-0.23960639908888043,22.3
14628,4,226,9,75,21,0,20,0,0,0,0,0,0,1,1,7510934,0,1,0.016766360054298265,-0.7230741369929625,25.6
8378,3,80,3,27,56,8,17,0,0,0,0,0,0,1,1,7510309,0,1,0.012944494651200658,0.3382798917020086,25.0
5428,3,26,4,22,48,2,8,1,1,0,0,0,0,0,0,7510416,0,1,0.013013554980597416,-0.8362034742714815,21.7
19856,2,84,19,66,13,11,28,0,0,0,0,1,1,0,0,7511973,0,1,0.038590398049620556,0.6758331820717092,21.0
8378,3,193,3,33,120,5,24,0,0,0,0,1,1,0,0,7510311,1,0,0.01824921248496253,-0.15822279176508441,26.0
5350,1,102,2,32,15,1,9,0,0,1,1,0,0,0,0,7510205,1,0,0.013895705956328566,-0.5340203277469392,31.5
19856,2,29,19,21,10,8,11,1,1,0,0,0,0,0,0,7511974,0,1,0.05127307109114775,0.6744651784068575,19.1
8477,2,51,5,66,35,9,25,0,0,1,1,0,0,0,0,7510519,0,1,0.02012214487785656,1.520101444919393,22.7
13879,1,2,14,15,6,0,2,0,0,1,1,0,0,0,0,7511454,1,0,0.03876798634491023,1.348510898169314,28.7
15726,2,249,1,35,20,2,16,0,0,1,1,0,0,0,0,7510104,1,0,0.0168768644190784,-0.3040032939384008,28.6
13879,3,171,14,91,34,17,42,1,1,0,0,0,0,0,0,7511455,1,0,0.03950313015860371,1.0853829037600564,23.4
13759,1,20,12,22,34,4,7,0,0,1,1,0,0,0,0,7511247,0,1,0.04888113263636414,-0.5854181039009496,23.1
24474,1,294,18,196,134,21,141,1,1,0,0,0,0,0,0,7511870,0,1,0.029657441569164104,1.5372174893205752,24.8
20898,4,127,8,89,66,11,54,0,0,1,1,0,0,0,0,7510832,0,1,0.03342214876446949,-0.5112052722868463,24.9
15167,2,124,10,78,35,11,25,1,1,0,0,0,0,0,0,7511039,0,1,0.01949907394223315,0.5338691280771024,22.1
7169,4,17,7,25,18,2,31,0,0,0,0,0,0,1,1,7510726,0,1,0.029053008834889205,0.15409345577556788,28.2
14628,1,98,9,44,88,4,48,0,0,0,0,0,0,1,1,7510935,1,0,0.011260854317765615,-1.3903062463311873,32.9
18770,2,82,17,70,23,17,28,1,1,0,0,0,0,0,0,7511768,1,0,0.040306042425190564,-0.9058307868075594,25.0
13879,4,171,14,91,34,17,42,0,0,0,0,0,0,1,1,7511455,1,0,0.03950313015860371,1.0853829037600564,23.3
13759,4,37,12,42,23,15,18,0,0,0,0,0,0,1,1,7511245,1,0,0.10318839920409463,-0.23960639908888043,22.7
19856,3,41,19,51,14,12,16,0,0,1,1,0,0,0,0,7511975,1,0,0.053305879132159666,0.3899946029286863,18.9
18770,2,209,17,104,49,62,72,1,1,0,0,0,0,0,0,7511765,0,1,0.05891330536171602,-0.34006327359121336,24.5
5350,2,102,2,32,15,1,9,0,0,1,1,0,0,0,0,7510205,0,1,0.013895705956328566,-0.5340203277469392,25.3
5350,2,102,2,32,15,1,9,0,0,0,0,0,0,1,1,7510205,1,0,0.013895705956328566,-0.5340203277469392,31.9
19856,4,41,19,51,14,12,16,1,1,0,0,0,0,0,0,7511975,0,1,0.053305879132159666,0.3899946029286863,14.6
7169,4,122,7,69,42,7,41,0,0,1,1,0,0,0,0,7510728,1,0,0.04456615975459604,0.10506839732061903,27.7
5428,4,132,4,45,54,2,22,0,0,0,0,0,0,1,1,7510413,1,0,0.00768792664171321,-0.5690648694063986,28.9
14628,2,226,9,75,21,0,20,0,0,0,0,0,0,1,1,7510934,1,0,0.016766360054298265,-0.7230741369929625,31.9
15726,2,33,1,28,20,1,14,0,0,0,0,0,0,1,1,7510101,1,0,0.009472874659510716,0.17138079722219274,31.9
15167,1,78,10,75,22,3,23,0,0,1,1,0,0,0,0,7511038,0,1,0.013131521851184724,0.9829598026967977,26.8
13879,2,2,14,15,6,0,2,0,0,0,0,0,0,1,1,7511454,1,0,0.03876798634491023,1.348510898169314,27.3
18654,4,63,20,51,31,10,18,1,1,0,0,0,0,0,0,7512077,0,1,0.04283884998942392,0.21566065917861754,21.6
5350,2,45,2,23,55,4,11,0,0,0,0,0,0,1,1,7510206,1,0,0.008892602048576588,-0.9196136595002139,31.3
24474,2,33,18,35,7,8,12,0,0,0,0,0,0,1,1,7511872,0,1,0.037108820682343335,1.0066341479674799,22.1
15167,2,187,10,106,33,21,29,0,0,0,0,0,0,1,1,7511037,1,0,0.021670423696255475,0.9836087971066798,27.9
13759,1,37,12,42,23,15,18,0,0,0,0,1,1,0,0,7511245,1,0,0.10318839920409463,-0.23960639908888043,29.0
19856,1,41,19,51,14,12,16,0,0,1,1,0,0,0,0,7511975,1,0,0.053305879132159666,0.3899946029286863,24.0
24474,2,33,18,35,7,8,12,0,0,0,0,1,1,0,0,7511872,1,0,0.037108820682343335,1.0066341479674799,23.7
19422,4,145,15,90,63,22,110,0,0,0,0,1,1,0,0,7511559,1,0,0.05491731707144338,0.20881656332917942,26.4
20898,2,127,8,89,66,11,54,1,1,0,0,0,0,0,0,7510832,1,0,0.03342214876446949,-0.5112052722868463,29.2
18770,2,209,17,104,49,62,72,0,0,0,0,0,0,1,1,7511765,0,1,0.05891330536171602,-0.34006327359121336,26.4
17723,4,127,13,100,29,28,36,0,0,1,1,0,0,0,0,7511351,0,1,0.038886240308054626,-1.3958987381223886,21.3
8378,1,193,3,33,120,5,24,1,1,0,0,0,0,0,0,7510311,0,1,0.01824921248496253,-0.15822279176508441,29.8
5350,2,102,2,32,15,1,9,0,0,0,0,1,1,0,0,7510205,0,1,0.013895705956328566,-0.5340203277469392,26.7
16265,1,229,16,90,14,4,59,1,1,0,0,0,0,0,0,7511662,0,1,0.0922557887316518,-0.01329824017080208,28.3
13759,4,20,12,22,34,4,7,0,0,0,0,0,0,1,1,7511247,1,0,0.04888113263636414,-0.5854181039009496,22.7
13759,2,37,12,42,23,15,18,0,0,0,0,0,0,1,1,7511245,0,1,0.10318839920409463,-0.23960639908888043,22.7
16265,4,229,16,90,14,4,59,0,0,1,1,0,0,0,0,7511662,0,1,0.0922557887316518,-0.01329824017080208,24.9
17723,4,70,13,78,37,10,23,0,0,0,0,0,0,1,1,7511350,0,1,0.044398323971411253,-0.884053139014644,20.1
7169,4,194,7,56,84,0,217,1,1,0,0,0,0,0,0,7510725,0,1,0.02097740006553859,0.36105291208426493,23.9
16265,1,151,16,56,7,8,25,0,0,1,1,0,0,0,0,7511663,1,0,0.0739359364808242,-0.1283748729717448,33.2
8477,4,83,6,47,137,1,21,0,0,0,0,0,0,1,1,7510621,1,0,0.008898692094924467,1.0366678736925319,28.9
14628,1,118,9,53,44,8,29,1,1,0,0,0,0,0,0,7510936,1,0,0.01791869658560452,1.564172471948611,31.6
8477,3,40,5,50,16,5,14,1,1,0,0,0,0,0,0,7510518,1,0,0.023388618931187908,-1.051816806927014,23.4
15513,3,138,11,82,62,15,61,0,0,0,0,0,0,1,1,7511141,1,0,0.029222881096545122,0.17696716953112207,26.0
