X,Y,OBJECTID,C_ORD,NIV6,ARRO,QUA,IRIS,NUM,LET,TYP_VOIE,LIB_VOIE,LIBACT,SIT,CODACT,SURF,CC_ID,CC_NIV,TYPE
648711.844116211,6863423.02307129,18528,21091,2,8,29,751082904,31,,AV,GEORGE V,Haute couture - Créateurs,A,CB101,1,,,C
648592.550292969,6863397.96691895,18534,21099,2,8,29,751082904,44,,AV,MARCEAU,Vente de meubles et multispécialistes,R,CD101,1,,,C
648652.736694336,6863332.9520874,18537,21102,2,8,29,751082904,37,,AV,PIERRE IER DE SERBIE,Concessionnaire automobiles,R,CG101,2,,,C
648669.527526855,6863345.58428955,18538,21105,2,8,29,751082904,39,,AV,PIERRE IER DE SERBIE,Prêt-à-porter Femme,R,CB104,1,,,C
648577.900878906,6863438.67108154,18543,21117,2,8,29,751082905,48,,AV,MARCEAU,Location de véhicules automobiles,R,CG301,1,,,C
648703.50189209,6863578.82531738,18547,21122,2,8,29,751082905,41,,AV,GEORGE V,Haute couture - Créateurs,A,CB101,2,,,C
648701.081481934,6863625.58050537,18548,21124,2,8,29,751082905,45,,AV,GEORGE V,Prêt-à-porter Mixte,R,CB107,1,,,C
648640.665283203,6863631.29187012,18552,21135,2,8,29,751082905,14,,RUE,MAGELLAN,Vente de matériel informatique,R,CE407,1,,,C
648543.399108887,6863542.31030273,18553,21138,2,8,29,751082905,34,,RUE,BASSANO,Linge de maison,R,CD202,1,,,C
648542.483520508,6863532.8416748,18557,21152,2,8,29,751082905,56,,AV,MARCEAU,Spécialiste d'un sport,A,CE202,1,,,C
648689.979125977,6863744.58331299,18563,21168,2,8,29,751082906,101,,AV,CHAMPS ELYSEES,Maroquinerie - Articles de voyages,A,CB205,3,,,C
648689.979125977,6863744.58331299,18564,21169,2,8,29,751082906,101,,AV,CHAMPS ELYSEES,Kiosque à journaux,R,CE104,1,,,K
648572.836303711,6863802.21972656,18567,21172,2,8,29,751082906,115,,AV,CHAMPS ELYSEES,Prêt-à-porter Mixte,A,CB107,1,,,C
648516.044494629,6863830.21051025,18569,21177,2,8,29,751082906,123,,AV,CHAMPS ELYSEES,Joaillerie,R,CB301,1,,,C
648500.666870117,6863837.77832031,18571,21181,2,8,29,751082906,125,,AV,CHAMPS ELYSEES,Téléphonie (Grands opérateurs + revendeurs),R,CE402,1,,,C
648481.097473145,6863847.4230957,18573,21184,2,8,29,751082906,127,,AV,CHAMPS ELYSEES,Maroquinerie - Articles de voyages,R,CB205,2,,,C
648435.066894531,6863870.07769775,18576,21189,2,8,29,751082906,133,,AV,CHAMPS ELYSEES,Pharmacie,CC,CC101,1,601,0,C
648435.066894531,6863870.07769775,18578,21191,2,8,29,751082906,133,,AV,CHAMPS ELYSEES,Librairie,CC,CE101,1,601,0,C
648386.343505859,6864130.71990967,18585,21206,2,8,30,751083001,4,,AV,WAGRAM,Montres,R,CB303,1,,,C
648670.201293945,6864483.60968018,18590,21212,2,8,30,751083002,79,,BD,COURCELLES,Prêt-à-porter Femme,R,CB104,1,,,C
648636.210510254,6864392.83831787,18598,21220,2,8,30,751083002,264,,RUE,FAUBOURG SAINT HONORE,Vente de meubles salon et chambre,R,CD103,2,,,C
648596.150085449,6864412.78369141,18603,21226,2,8,30,751083002,270,,RUE,FAUBOURG SAINT HONORE,Téléphonie discount et accesoires (pas d'enseigne particulière),R,CE403,1,,,C
648570.530883789,6864435.34350586,18605,21229,2,8,30,751083002,2,,PL,TERNES,Kiosque à journaux,R,CE104,1,,,K
648719.72869873,6864499.39471436,18606,21230,2,8,30,751083002,75,,BD,COURCELLES,Vente de meubles salon et chambre,A,CD103,1,,,C
648876.425292969,6864548.77667236,18611,21237,2,8,30,751083002,55,,BD,COURCELLES,Prêt-à-porter Femme,R,CB104,1,,,C
648861.0625,6864543.88909912,18613,21239,2,8,30,751083002,59,,BD,COURCELLES,Contrôle technique automobile,R,CG206,1,,,C
648857.258300781,6864542.65307617,18614,21240,2,8,30,751083002,59,,BD,COURCELLES,Bazar,R,CD501,1,,,C
648840.954101562,6864537.53869629,18615,21242,2,8,30,751083002,61,,BD,COURCELLES,Station service,R,CG205,1,,,C
648829.586914062,6864533.94989014,18617,21244,2,8,30,751083002,63,,BD,COURCELLES,Prêt-à-porter Homme,R,CB105,1,,,C
648825.76171875,6864532.78027344,18618,21245,2,8,30,751083002,63,,BD,COURCELLES,Spécialiste d'un sport,R,CE202,1,,,C
648800.85168457,6864524.88171387,18619,21246,2,8,30,751083002,67,,BD,COURCELLES,Prêt-à-porter Homme,R,CB105,1,,,C
648761.980102539,6864310.03991699,18630,21259,2,8,30,751083002,250,,RUE,FAUBOURG SAINT HONORE,Prêt-à-porter Femme,R,CB104,1,,,C
648801.578308105,6864319.34588623,18636,21284,2,8,30,751083002,14,B,AV,HOCHE,Tailleur sur mesure,R,CB102,1,,,C
649095.282287598,6864397.36871338,18642,21298,2,8,30,751083002,63,,RUE,COURCELLES,Pharmacie,R,CC101,1,,,C
648861.165710449,6864241.01727295,18650,21312,2,8,30,751083002,234,,RUE,FAUBOURG SAINT HONORE,Montres,R,CB303,1,,,C
648864.481689453,6864238.78051758,18651,21313,2,8,30,751083002,234,,RUE,FAUBOURG SAINT HONORE,Spécialiste d'un sport,R,CE202,1,,,C
648822.21270752,6864267.81890869,18656,21319,2,8,30,751083002,240,,RUE,FAUBOURG SAINT HONORE,Prêt-à-porter Lingerie,R,CB108,1,,,C
648825.528930664,6864265.58209229,18657,21320,2,8,30,751083002,240,,RUE,FAUBOURG SAINT HONORE,Brocante - Dépôt-vente - Biens d'occasion,R,CD403,1,,,C
649074.65032959,6864121.24072266,18659,21324,2,8,30,751083002,190,,BD,HAUSSMANN,Chaussures Femme,R,CB201,1,,,C
649082.63092041,6864121.79870605,18661,21326,2,8,30,751083002,190,,BD,HAUSSMANN,Vente de meubles de cuisines et salle de bain,R,CD102,1,,,C
649086.621276855,6864122.07769775,18662,21327,2,8,30,751083002,190,,BD,HAUSSMANN,Vente de cigarettes électroniques,R,CE508,1,,,C
648816.031311035,6864283.57348633,18668,21341,2,8,30,751083002,25,,AV,HOCHE,Prêt-à-porter Homme,A,CB105,1,,,C
649095.800720215,6864129.95788574,18671,21344,2,8,30,751083002,3,,RUE,MONCEAU,Kiosque à journaux,R,CE104,1,,,K
649136.87487793,6864164.16052246,18676,21349,2,8,30,751083002,7,B,RUE,MONCEAU,Prêt-à-porter Homme,R,CB105,1,,,C
649289.001098633,6864127.98968506,18682,21357,2,8,30,751083002,170,,BD,HAUSSMANN,Vente de meubles et multispécialistes,A,CD101,1,,,C
649152.103088379,6864121.01867676,18689,21369,2,8,30,751083002,184,,BD,HAUSSMANN,Vente de luminaires,R,CD204,1,,,C
648971.14630127,6864126.621521,18695,21378,2,8,30,751083001,6,,RUE,BERRYER,Papeterie - Fournitures de bureau,R,CE102,1,,,C
648937.742492676,6864170.1651001,18713,21397,2,8,30,751083001,191,,RUE,FAUBOURG SAINT HONORE,Chaussures Homme,R,CB202,1,,,C
648934.426330566,6864172.4019165,18714,21399,2,8,30,751083001,191,,RUE,FAUBOURG SAINT HONORE,Prêt-à-porter Homme,A,CB105,1,,,C
649013.40447998,6864111.74072266,18715,21400,2,8,30,751083001,2,,AV,FRIEDLAND,Pharmacie,A,CC101,1,,,C
648997.822692871,6864109.25128174,18716,21401,2,8,30,751083001,4,,AV,FRIEDLAND,Vente de meubles et multispécialistes,A,CD101,1,,,C
648944.062072754,6864131.68548584,18719,21404,2,8,30,751083001,5,,RUE,BERRYER,Concession + Réparation de motos,R,CG106,1,,,C
648936.611083984,6864099.54449463,18723,21408,2,8,30,751083001,8,,AV,FRIEDLAND,Revêtements sols et murs,R,CF103,1,,,C
648802.452270508,6864262.1494751,18733,21423,2,8,30,751083001,205,,RUE,FAUBOURG SAINT HONORE,Antiquités,R,CD401,1,,,C
648783.425292969,6864263.36889648,18736,21426,2,8,30,751083001,27,,AV,HOCHE,Kiosque à journaux,R,CE104,1,,,K
648753.470703125,6864070.23370361,18740,21432,2,8,30,751083001,14,,AV,FRIEDLAND,Vente de meubles et multispécialistes,A,CD101,1,,,C
648671.079284668,6864057.11230469,18743,21437,2,8,30,751083001,24,,AV,FRIEDLAND,Vente de prothèses auditives,R,CC103,1,,,C
648675.030090332,6864057.73809814,18744,21438,2,8,30,751083001,24,,AV,FRIEDLAND,Prêt-à-porter Homme,R,CB105,1,,,C
648610.472717285,6864061.60827637,18750,21444,2,8,30,751083001,11,,RUE,ARSENE HOUSSAYE,Location de véhicules automobiles,R,CG301,1,,,C
648467.228881836,6863935.50610352,18756,21458,2,8,30,751083005,154,,AV,CHAMPS ELYSEES,Joaillerie,A,CB301,2,,,C
648515.038513184,6863989.39672852,18757,21459,2,8,30,751083005,43,,AV,FRIEDLAND,Vente de meubles de cuisines et salle de bain,A,CD102,1,,,C
648475.367919922,6863983.15887451,18759,21461,2,8,30,751083005,47,,AV,FRIEDLAND,Prêt-à-porter Homme,R,CB105,1,,,C
648464.957275391,6863967.54089355,18762,21464,2,8,30,751083005,4,,RUE,TILSITT,Bimbeloterie - Articles souvenirs,R,CE504,1,,,C
648521.408874512,6863959.94030762,18763,21465,2,8,30,751083005,4,,RUE,ARSENE HOUSSAYE,Prêt-à-porter Mixte,R,CB107,1,,,C
648619.593322754,6863860.35791016,18767,21469,2,8,30,751083005,136,,AV,CHAMPS ELYSEES,Concessionnaire automobiles,A,CG101,1,,,C
648601.870300293,6863869.08032227,18768,21470,2,8,30,751083005,138,,AV,CHAMPS ELYSEES,Opticien,R,CC301,3,,,C
648570.438903809,6863884.58032227,18772,21475,2,8,30,751083005,142,,AV,CHAMPS ELYSEES,Maroquinerie - Articles de voyages,R,CB205,1,,,C
648545.959716797,6863896.65307617,18775,21479,2,8,30,751083005,146,,AV,CHAMPS ELYSEES,Horlogerie - Bijouterie,R,CB302,1,,,C
648549.554870605,6863894.8994751,18777,21481,2,8,30,751083005,146,,AV,CHAMPS ELYSEES,Prêt-à-porter Homme,R,CB105,2,,,C
648494.880126953,6863921.76647949,18779,21485,2,8,30,751083005,152,,AV,CHAMPS ELYSEES,Bimbeloterie - Articles souvenirs,R,CE504,1,,,C
648498.475280762,6863920.01312256,18780,21486,2,8,30,751083005,152,,AV,CHAMPS ELYSEES,Horlogerie - Bijouterie,A,CB302,1,,,C
648636.559692383,6864009.05371094,18783,21492,2,8,30,751083005,35,,AV,FRIEDLAND,Tabac,R,CE501,1,,,C
648606.990722656,6864004.29150391,18785,21494,2,8,30,751083005,39,,AV,FRIEDLAND,Galerie d'art,R,CE302,1,,,C
648695.393920898,6864018.54968262,18788,21501,2,8,30,751083005,29,,AV,FRIEDLAND,Pharmacie,R,CC101,1,,,C
648741.201477051,6863800.36987305,18796,21513,2,8,30,751083005,114,,AV,CHAMPS ELYSEES,Kiosque à journaux,R,CE104,1,,,K
648724.555114746,6863808.58032227,18798,21529,2,8,30,751083005,116,,AV,CHAMPS ELYSEES,Prêt-à-porter Enfant,R,CB106,1,,,C
648728.15032959,6863806.8269043,18799,21530,2,8,30,751083005,116,,AV,CHAMPS ELYSEES,Prêt-à-porter Mixte,R,CB107,2,,,C
648697.076477051,6863822.12268066,18802,21533,2,8,30,751083005,118,,AV,CHAMPS ELYSEES,Concessionnaire automobiles,R,CG101,2,,,C
648682.008728027,6863829.54888916,18803,21544,2,8,30,751083005,120,,AV,CHAMPS ELYSEES,Prêt-à-porter Femme,R,CB104,2,,,C
