Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1971-1990,Apres 1990,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
5428,2,83,4,29,38,6,16,0,0,0,1,7510415,1,0,0.2163958613814546,0.33339682374395774,31.9
19422,2,110,15,99,33,24,48,0,0,0,1,7511558,1,0,0.36336305735013036,0.6756259325418722,29.8
17723,4,13,13,21,13,4,6,0,0,1,0,7511352,0,1,0.27489626255488664,0.022663481514400563,20.4
5350,3,102,2,32,15,1,9,0,1,0,0,7510205,1,0,0.13466345115834658,0.3245390636630766,25.2
16265,1,229,16,90,14,4,59,0,1,0,0,7511662,0,1,0.8940519423039075,0.49217257612986753,29.4
8477,1,40,5,50,16,5,14,0,0,0,1,7510518,1,0,0.22665938333753916,0.15784737798496123,32.8
17723,2,70,13,78,37,10,23,1,0,0,0,7511350,0,1,0.4302646839553789,0.2118547143116556,19.1
24474,1,51,18,52,12,5,87,0,0,0,1,7511871,1,0,0.31542660158222924,0.889067727360112,31.8
8477,2,378,6,113,42,5,72,1,0,0,0,7510623,1,0,0.24921783031861436,0.7095607920640797,30.1
13879,4,171,14,91,34,17,42,0,0,0,1,7511455,0,1,0.3828253026822436,0.84586561821968,20.6
5350,3,93,2,30,12,3,16,0,0,1,0,7510207,1,0,0.05850789312443561,0.001663746445630332,26.0
18654,4,63,20,51,31,10,18,1,0,0,0,7512077,1,0,0.4151518031081543,0.5658801937328212,24.4
15726,3,131,1,34,49,0,28,0,0,1,0,7510103,1,0,0.08818479837262626,0.4039910983778825,27.7
19856,4,57,19,43,13,9,9,0,0,0,1,7511976,1,0,0.3742521979246801,0.6402400932804,22.7
15513,1,118,11,68,65,23,64,0,0,1,0,7511144,1,0,0.40827631538854264,0.42330259668705444,32.8
16265,4,78,16,90,21,50,51,1,0,0,0,7511661,1,0,0.839163015049789,0.5402706025271531,24.2
8477,2,204,6,77,43,2,39,1,0,0,0,7510622,0,1,0.17029534660212514,0.8340644063270486,26.7
18654,4,66,20,65,24,15,22,0,0,0,1,7512079,1,0,0.48906228209576974,0.5072996521673716,22.7
19856,4,84,19,66,13,11,28,0,1,0,0,7511973,0,1,0.3739800049935191,0.7140212812606183,15.0
19856,1,29,19,21,10,8,11,0,1,0,0,7511974,0,1,0.4968879397938482,0.7135808865378325,21.2
16265,2,151,16,56,7,8,25,0,0,1,0,7511663,1,0,0.7165140369566885,0.4551265190880629,30.2
18770,3,152,17,70,40,29,41,0,0,0,1,7511767,1,0,0.4114957042942287,0.2734538218272014,26.3
16265,4,107,16,63,13,27,26,0,0,0,1,7511664,1,0,0.5160270518774225,0.45425579523167525,26.8
15167,4,62,10,45,23,15,25,0,1,0,0,7511040,0,1,0.2517937887228206,0.6882163317815884,20.7
15726,3,249,1,35,20,2,16,0,1,0,0,7510104,0,1,0.1635538931629119,0.3985873213123742,22.3
5428,2,132,4,45,54,2,22,0,0,1,0,7510413,1,0,0.07450378822630425,0.31325734592663623,30.2
16265,3,107,16,63,13,27,26,0,1,0,0,7511664,0,1,0.5160270518774225,0.45425579523167525,25.3
14628,2,118,9,53,44,8,29,0,0,0,1,7510936,0,1,0.17365030103978477,1.0,24.7
19856,2,57,19,43,13,9,9,0,1,0,0,7511976,1,0,0.3742521979246801,0.6402400932804,21.8
13759,1,37,12,42,23,15,18,1,0,0,0,7511245,0,1,0.9999999999999999,0.4193182984173185,23.8
14628,1,88,9,65,106,7,34,1,0,0,0,7510933,1,0,0.2045689780660741,0.17068644098913016,31.6
13759,1,126,12,94,66,26,101,0,1,0,0,7511248,1,0,0.32445070901559786,0.3427837217681108,28.7
14628,1,226,9,75,21,0,20,0,0,1,0,7510934,1,0,0.1624829940537827,0.26367789636238326,36.3
20898,2,324,8,53,80,2,62,0,0,1,0,7510831,0,1,0.2616548516952385,0.3895631917171873,26.7
